0.00, 4, red, Entry
0.00, 3, red, Exit
0.00, 1, red, Exit
0.00, 2, red, Exit
0.00, 4, blue, Entry
0.00, 2, blue, Exit
0.03, 1, red, Exit
0.03, 4, blue, Exit
0.03, 2, blue, Exit
0.07, 4, blue, Exit
0.07, 2, blue, Exit
0.10, 4, blue, Exit
0.10, 2, blue, Exit
0.13, 2, red, Exit
0.13, 1, red, Exit
0.13, 4, blue, Exit
0.13, 2, blue, Exit
0.17, 3, red, Exit
0.17, 2, red, Exit
0.17, 4, blue, Exit
0.17, 2, blue, Exit
0.20, 3, red, Exit
0.20, 1, red, Exit
0.20, 2, red, Exit
0.20, 4, blue, Exit
0.20, 2, blue, Exit
0.23, 1, red, Exit
0.23, 2, red, Exit
0.23, 4, blue, Exit
0.23, 2, blue, Exit
0.27, 3, red, Exit
0.27, 2, red, Exit
0.27, 4, blue, Exit
0.27, 2, blue, Exit
0.30, 3, red, Exit
0.30, 1, red, Exit
0.30, 4, blue, Exit
0.30, 2, blue, Exit
0.33, 3, red, Exit
0.33, 1, red, Exit
0.33, 2, red, Exit
0.33, 4, blue, Exit
0.33, 2, blue, Exit
0.37, 4, blue, Exit
0.37, 2, blue, Exit
0.40, 3, red, Exit
0.40, 1, red, Exit
0.40, 2, red, Exit
0.40, 4, blue, Exit
0.40, 2, blue, Exit
0.43, 3, red, Exit
0.43, 1, red, Exit
0.43, 2, red, Exit
0.43, 4, blue, Exit
0.43, 2, blue, Exit
0.47, 4, blue, Exit
0.47, 2, blue, Exit
0.50, 3, red, Exit
0.50, 1, red, Exit
0.50, 2, red, Exit
0.50, 4, blue, Exit
0.50, 2, blue, Exit
0.53, 3, red, Exit
0.53, 2, red, Exit
0.53, 4, blue, Exit
0.53, 2, blue, Exit
0.57, 3, red, Exit
0.57, 1, red, Exit
0.57, 2, red, Exit
0.57, 4, blue, Exit
0.57, 2, blue, Exit
0.60, 3, red, Exit
0.60, 2, red, Exit
0.60, 4, blue, Exit
0.60, 2, blue, Exit
0.63, 3, red, Exit
0.63, 2, red, Exit
0.63, 4, blue, Exit
0.63, 2, blue, Exit
0.67, 3, red, Exit
0.67, 4, blue, Exit
0.67, 2, blue, Exit
0.70, 2, red, Exit
0.70, 4, blue, Exit
0.70, 2, blue, Exit
0.73, 3, red, Exit
0.73, 4, red, Exit
0.73, 3, red, Exit
0.73, 1, red, Exit
0.73, 2, red, Exit
0.73, 4, blue, Exit
0.73, 2, blue, Exit
0.77, 3, red, Exit
0.77, 1, red, Exit
0.77, 2, red, Exit
0.77, 4, blue, Exit
0.77, 2, blue, Exit
0.80, 3, red, Exit
0.80, 1, red, Exit
0.80, 2, red, Exit
0.80, 4, blue, Exit
0.80, 2, blue, Exit
0.83, 3, red, Exit
0.83, 2, red, Exit
0.83, 4, blue, Exit
0.83, 2, blue, Exit
0.87, 3, red, Exit
0.87, 1, red, Exit
0.87, 2, red, Exit
0.87, 4, blue, Exit
0.87, 2, blue, Exit
0.90, 3, red, Exit
0.90, 1, red, Exit
0.90, 2, red, Exit
0.90, 4, blue, Exit
0.90, 2, blue, Exit
0.93, 3, red, Exit
0.93, 1, red, Exit
0.93, 2, red, Exit
0.93, 4, blue, Exit
0.93, 2, blue, Exit
0.97, 3, red, Exit
0.97, 1, red, Exit
0.97, 2, red, Exit
0.97, 4, blue, Exit
0.97, 2, blue, Exit
1.00, 3, red, Exit
1.00, 1, red, Exit
1.00, 2, red, Exit
1.00, 4, blue, Exit
1.00, 2, blue, Exit
1.03, 3, red, Exit
1.03, 1, red, Exit
1.03, 2, red, Exit
1.03, 4, blue, Exit
1.03, 2, blue, Exit
1.07, 3, red, Exit
1.07, 1, red, Exit
1.07, 2, red, Exit
1.07, 4, blue, Exit
1.07, 2, blue, Exit
1.10, 3, red, Exit
1.10, 4, blue, Exit
1.10, 2, blue, Exit
1.13, 4, blue, Exit
1.13, 2, blue, Exit
1.16, 4, blue, Exit
1.16, 2, blue, Exit
1.20, 2, red, Exit
1.20, 4, blue, Exit
1.20, 2, blue, Exit
1.23, 4, blue, Exit
1.23, 2, blue, Exit
1.26, 4, red, Exit
1.26, 2, red, Exit
1.26, 4, blue, Exit
1.26, 2, blue, Exit
1.30, 4, blue, Exit
1.30, 2, blue, Exit
1.33, 1, red, Exit
1.33, 2, red, Exit
1.33, 4, blue, Exit
1.33, 2, blue, Exit
1.36, 1, red, Exit
1.36, 2, red, Exit
1.36, 4, blue, Exit
1.36, 2, blue, Exit
1.40, 1, red, Exit
1.40, 2, red, Exit
1.40, 4, blue, Exit
1.40, 2, blue, Exit
1.43, 3, red, Exit
1.43, 2, red, Exit
1.43, 4, blue, Exit
1.43, 2, blue, Exit
1.46, 4, blue, Exit
1.46, 2, blue, Exit
1.50, 3, red, Exit
1.50, 4, blue, Exit
1.50, 2, blue, Exit
1.53, 4, blue, Exit
1.53, 2, blue, Exit
1.56, 2, red, Exit
1.56, 4, blue, Exit
1.56, 2, blue, Exit
1.60, 3, red, Exit
1.60, 4, blue, Exit
1.60, 2, blue, Exit
1.63, 2, red, Exit
1.63, 1, red, Exit
1.63, 4, blue, Exit
1.63, 2, blue, Exit
1.66, 4, blue, Exit
1.66, 2, blue, Exit
1.70, 4, blue, Exit
1.70, 2, blue, Exit
1.73, 4, blue, Exit
1.73, 2, blue, Exit
1.76, 2, red, Exit
1.76, 4, blue, Exit
1.76, 2, blue, Exit
1.80, 3, red, Exit
1.80, 4, blue, Exit
1.80, 2, blue, Exit
1.83, 1, red, Exit
1.83, 4, blue, Exit
1.83, 2, blue, Exit
1.86, 2, red, Exit
1.86, 4, blue, Exit
1.86, 2, blue, Exit
1.90, 4, blue, Exit
1.90, 2, blue, Exit
1.93, 4, blue, Exit
1.93, 2, blue, Exit
1.96, 4, red, Exit
1.96, 3, red, Exit
1.96, 4, blue, Exit
1.96, 2, blue, Exit
2.00, 2, red, Exit
2.00, 1, red, Exit
2.00, 4, blue, Exit
2.00, 2, blue, Exit
2.00, 4, green, Entry
2.03, 3, red, Exit
2.03, 4, blue, Exit
2.03, 2, blue, Exit
2.06, 1, red, Exit
2.06, 4, blue, Exit
2.06, 2, blue, Exit
2.10, 3, red, Exit
2.10, 2, red, Exit
2.10, 1, red, Exit
2.10, 2, red, Exit
2.10, 4, blue, Exit
2.10, 2, blue, Exit
2.13, 3, red, Exit
2.13, 4, red, Exit
2.13, 2, red, Exit
2.13, 1, red, Exit
2.13, 4, blue, Exit
2.13, 2, blue, Exit
2.16, 4, red, Exit
2.16, 3, red, Exit
2.16, 4, red, Exit
2.16, 1, red, Exit
2.16, 4, blue, Exit
2.16, 2, blue, Exit
2.20, 4, red, Exit
2.20, 2, red, Exit
2.20, 1, red, Exit
2.20, 4, blue, Exit
2.20, 2, blue, Exit
2.23, 4, red, Exit
2.23, 1, red, Exit
2.23, 4, blue, Exit
2.23, 2, blue, Exit
2.26, 4, red, Exit
2.26, 1, red, Exit
2.26, 2, red, Exit
2.26, 4, blue, Exit
2.26, 2, blue, Exit
2.30, 1, red, Exit
2.30, 2, red, Exit
2.30, 4, blue, Exit
2.30, 2, blue, Exit
2.33, 3, red, Exit
2.33, 2, red, Exit
2.33, 4, blue, Exit
2.33, 2, blue, Exit
2.36, 4, blue, Exit
2.36, 2, blue, Exit
2.40, 3, red, Exit
2.40, 2, red, Exit
2.40, 4, blue, Exit
2.40, 2, blue, Exit
2.43, 3, red, Exit
2.43, 4, red, Exit
2.43, 2, red, Exit
2.43, 4, blue, Exit
2.43, 2, blue, Exit
2.46, 3, red, Exit
2.46, 4, red, Exit
2.46, 2, red, Exit
2.46, 4, blue, Exit
2.46, 2, blue, Exit
2.46, 2, green, Exit
2.50, 4, red, Exit
2.50, 2, red, Exit
2.50, 4, blue, Exit
2.50, 2, blue, Exit
2.53, 4, blue, Exit
2.53, 2, blue, Exit
2.56, 4, red, Exit
2.56, 2, red, Exit
2.56, 4, blue, Exit
2.56, 2, blue, Exit
2.60, 4, blue, Exit
2.60, 2, blue, Exit
2.63, 4, blue, Exit
2.63, 2, blue, Exit
2.66, 3, red, Exit
2.66, 4, red, Exit
2.66, 2, red, Exit
2.66, 1, red, Exit
2.66, 2, red, Exit
2.66, 4, blue, Exit
2.66, 2, blue, Exit
2.70, 4, blue, Exit
2.70, 2, blue, Exit
2.73, 4, blue, Exit
2.73, 2, blue, Exit
2.76, 4, red, Exit
2.76, 2, red, Exit
2.76, 4, blue, Exit
2.76, 2, blue, Exit
2.80, 4, red, Exit
2.80, 2, red, Exit
2.80, 4, blue, Exit
2.80, 2, blue, Exit
2.83, 4, red, Exit
2.83, 2, red, Exit
2.83, 4, blue, Exit
2.83, 2, blue, Exit
2.86, 4, red, Exit
2.86, 2, red, Exit
2.86, 4, blue, Exit
2.86, 2, blue, Exit
2.90, 4, red, Exit
2.90, 4, blue, Exit
2.90, 2, blue, Exit
2.93, 2, red, Exit
2.93, 4, blue, Exit
2.93, 2, blue, Exit
2.96, 4, red, Exit
2.96, 4, blue, Exit
2.96, 2, blue, Exit
3.00, 3, red, Exit
3.00, 4, blue, Exit
3.00, 2, blue, Exit
3.03, 4, red, Exit
3.03, 4, blue, Exit
3.03, 2, blue, Exit
3.06, 4, blue, Exit
3.06, 2, blue, Exit
3.10, 3, red, Exit
3.10, 4, blue, Exit
3.10, 2, blue, Exit
3.13, 4, blue, Exit
3.13, 2, blue, Exit
3.16, 4, red, Exit
3.16, 3, red, Exit
3.16, 4, blue, Exit
3.16, 2, blue, Exit
3.20, 4, blue, Exit
3.20, 2, blue, Exit
3.23, 2, red, Exit
3.23, 4, blue, Exit
3.23, 2, blue, Exit
3.26, 3, red, Exit
3.26, 4, blue, Exit
3.26, 2, blue, Exit
3.30, 1, red, Exit
3.30, 2, red, Exit
3.30, 4, blue, Exit
3.30, 2, blue, Exit
3.33, 3, red, Exit
3.33, 1, red, Exit
3.33, 4, blue, Exit
3.33, 2, blue, Exit
3.36, 3, red, Exit
3.36, 1, red, Exit
3.36, 2, red, Exit
3.36, 4, blue, Exit
3.36, 2, blue, Exit
3.40, 1, red, Exit
3.40, 4, blue, Exit
3.40, 2, blue, Exit
3.43, 3, red, Exit
3.43, 4, blue, Exit
3.43, 2, blue, Exit
3.46, 1, red, Exit
3.46, 4, blue, Exit
3.46, 2, blue, Exit
3.49, 3, red, Exit
3.49, 4, blue, Exit
3.49, 2, blue, Exit
3.53, 4, blue, Exit
3.53, 2, blue, Exit
3.56, 4, blue, Exit
3.56, 2, blue, Exit
3.59, 2, red, Exit
3.59, 4, blue, Exit
3.59, 2, blue, Exit
3.63, 3, red, Exit
3.63, 4, blue, Exit
3.63, 2, blue, Exit
3.66, 2, red, Exit
3.66, 4, blue, Exit
3.66, 2, blue, Exit
3.69, 3, red, Exit
3.69, 2, red, Exit
3.69, 4, blue, Exit
3.69, 2, blue, Exit
3.73, 4, blue, Exit
3.73, 2, blue, Exit
3.76, 3, red, Exit
3.76, 4, blue, Exit
3.76, 2, blue, Exit
3.79, 4, red, Exit
3.79, 4, blue, Exit
3.79, 2, blue, Exit
3.83, 3, red, Exit
3.83, 4, blue, Exit
3.83, 2, blue, Exit
3.86, 1, red, Exit
3.86, 4, blue, Exit
3.86, 2, blue, Exit
3.89, 4, red, Exit
3.89, 3, red, Exit
3.89, 1, red, Exit
3.89, 4, blue, Exit
3.89, 2, blue, Exit
3.93, 4, blue, Exit
3.93, 2, blue, Exit
3.96, 4, red, Exit
3.96, 4, blue, Exit
3.96, 2, blue, Exit
3.99, 3, red, Exit
3.99, 1, red, Exit
3.99, 4, blue, Exit
3.99, 2, blue, Exit
4.03, 3, red, Exit
4.03, 1, red, Exit
4.03, 4, blue, Exit
4.03, 2, blue, Exit
4.06, 3, red, Exit
4.06, 1, red, Exit
4.06, 4, blue, Exit
4.06, 2, blue, Exit
4.09, 3, red, Exit
4.09, 4, blue, Exit
4.09, 2, blue, Exit
4.13, 2, red, Exit
4.13, 4, blue, Exit
4.13, 2, blue, Exit
4.16, 3, red, Exit
4.16, 2, red, Exit
4.16, 4, blue, Exit
4.16, 2, blue, Exit
4.19, 4, blue, Exit
4.19, 2, blue, Exit
4.23, 3, red, Exit
4.23, 2, red, Exit
4.23, 4, blue, Exit
4.23, 2, blue, Exit
4.26, 1, red, Exit
4.26, 2, red, Exit
4.26, 4, blue, Exit
4.26, 2, blue, Exit
4.29, 4, blue, Exit
4.29, 2, blue, Exit
4.33, 4, red, Exit
4.33, 3, red, Exit
4.33, 1, red, Exit
4.33, 4, blue, Exit
4.33, 2, blue, Exit
4.36, 3, red, Exit
4.36, 1, red, Exit
4.36, 2, red, Exit
4.36, 4, blue, Exit
4.36, 2, blue, Exit
4.39, 3, red, Exit
4.39, 1, red, Exit
4.39, 4, blue, Exit
4.39, 2, blue, Exit
4.43, 3, red, Exit
4.43, 4, blue, Exit
4.43, 2, blue, Exit
4.46, 4, red, Exit
4.46, 3, red, Exit
4.46, 1, red, Exit
4.46, 4, blue, Exit
4.46, 2, blue, Exit
4.49, 3, red, Exit
4.49, 4, blue, Exit
4.49, 2, blue, Exit
4.53, 1, red, Exit
4.53, 4, blue, Exit
4.53, 2, blue, Exit
4.56, 3, red, Exit
4.56, 4, red, Exit
4.56, 1, red, Exit
4.56, 2, red, Exit
4.56, 4, blue, Exit
4.56, 2, blue, Exit
4.59, 3, red, Exit
4.59, 1, red, Exit
4.59, 4, blue, Exit
4.59, 2, blue, Exit
4.63, 3, red, Exit
4.63, 4, blue, Exit
4.63, 2, blue, Exit
4.66, 2, red, Exit
4.66, 4, blue, Exit
4.66, 2, blue, Exit
4.69, 3, red, Exit
4.69, 2, red, Exit
4.69, 4, blue, Exit
4.69, 2, blue, Exit
4.73, 3, red, Exit
4.73, 2, red, Exit
4.73, 4, blue, Exit
4.73, 2, blue, Exit
4.76, 3, red, Exit
4.76, 4, blue, Exit
4.76, 2, blue, Exit
4.79, 4, blue, Exit
4.79, 2, blue, Exit
4.83, 2, red, Exit
4.83, 4, blue, Exit
4.83, 2, blue, Exit
4.86, 3, red, Exit
4.86, 1, red, Exit
4.86, 2, red, Exit
4.86, 4, blue, Exit
4.86, 2, blue, Exit
4.89, 1, red, Exit
4.89, 4, blue, Exit
4.89, 2, blue, Exit
4.93, 3, red, Exit
4.93, 4, red, Exit
4.93, 3, red, Exit
4.93, 4, blue, Exit
4.93, 2, blue, Exit
